port_name,from_count,to_count,latitude,longitude,anchor_count,total_mentions
BATAVIA,26894.0,33889.0,-6.1,106.86,434.0,61217.0
LA CORUÑA,16117.0,14882.0,43.36,-8.36,145.0,31144.0
MONTEVIDEO,11976.0,10033.0,-34.89,-56.21,92.0,22101.0
ROTTERDAM,10096.0,7215.0,51.0,1.11,1.0,17312.0
SPITHEAD,9180.0,7684.0,50.525000000000006,-1.115,2.0,16866.0
NEDERLAND,9770.0,7022.0,52.0,5.0,,16792.0
LA HABANA,7893.0,8156.0,23.48,-80.91,5.0,16054.0
CÁDIZ,7222.0,8719.0,36.525000000000006,-6.41,2.0,15943.0
NIEUWEDIEP,6790.0,8748.0,52.155,3.27,20.0,15558.0
TEXEL,7102.0,4915.0,52.615,4.175000000000001,12.0,12029.0
HELLEVOETSLUIS,5387.0,5228.0,51.81,4.08,96.0,10711.0
DOWNS,4902.0,4952.0,51.2,1.4,,9854.0
MADRAS,2423.0,6748.0,13.08,80.27,,9171.0
ST HELENA,3038.0,5718.0,-16.02,-5.08,47.0,8803.0
SURINAME,3139.0,4577.0,6.095000000000001,-54.485,4.0,7720.0
PLYMOUTH,5174.0,2364.0,50.35,-4.16,16.0,7554.0
TABLE BAY,4059.0,2994.0,-33.9,18.4,,7053.0
MIDDELBURG,3267.0,2356.0,51.5,3.6,,5623.0
JAVA HEAD,5374.0,204.0,-6.75,105.2,,5578.0
BOMBAY,1481.0,4012.0,18.93,72.85,2.0,5495.0
PORTSMOUTH,3763.0,1273.0,50.2,-1.58,1.0,5037.0
CURACAO,3456.0,1516.0,12.21,-68.34,24.0,4996.0
AMSTERDAM,2552.0,2432.0,52.77,3.97,1.0,4985.0
UK,967.0,3750.0,51.5,-0.1,,4717.0
RIO DE JANEIRO,2255.0,2159.0,-22.9,-43.16,32.0,4446.0
KAAP DE GOEDE HOOP,1264.0,3114.0,-34.12,18.23,9.0,4387.0
JAVA,1601.0,2591.0,-7.5,110.0,,4192.0
CADIZ,1761.0,1845.0,36.53,-6.3,1.0,3607.0
BARBADOS,396.0,2968.0,13.095,-58.93,2.0,3366.0
PARAMARIBO,1373.0,1860.0,5.83,-55.15,130.0,3363.0
GRAVESEND,2210.0,1142.0,51.44,0.37,,3352.0
MADEIRA,2354.0,839.0,32.95,-15.88,3.0,3196.0
BREST,1540.0,1424.0,48.34,-5.385,12.0,2976.0
NEW YORK,1294.0,1590.0,40.75,-73.97,34.0,2918.0
VLISSINGEN,1302.0,1537.0,51.45,3.58,1.0,2840.0
RAMMEKENS,1940.0,710.0,51.45,3.65,,2650.0
HALIFAX,1241.0,1395.0,,,,2636.0
BENGAL,1004.0,1537.0,,,,2541.0
ROCHEFORT,1317.0,861.0,46.515,-1.97,2.0,2180.0
BROUWERSHAVEN,319.0,1771.0,51.75,3.9,19.0,2109.0
BANJOEWANGIE,1890.0,9.0,-8.2,114.35,,1899.0
CALCUTTA,675.0,1219.0,20.47,87.27,1.0,1895.0
SPITSBERGEN,544.0,1331.0,60.39,5.32,,1875.0
JAMAICA,1292.0,438.0,18.1,-77.3,,1730.0
FALMOUTH,1214.0,507.0,50.15,-5.07,,1721.0
DOWNS UK,790.0,923.0,51.2,1.4,,1713.0
SCHIEDAM,1090.0,599.0,,,,1689.0
CEYLON,276.0,1387.0,6.85,82.1,1.0,1664.0
MARTINIQUE,571.0,1064.0,15.65,-61.745000000000005,2.0,1637.0
CORK,1175.0,458.0,51.35,-8.815,2.0,1635.0
CAPE OF GOOD HOPE,585.0,1015.0,,,,1600.0
LISBON,621.0,907.0,38.68,-9.1,4.0,1532.0
SIMONS BAY,640.0,822.0,,,,1462.0
PADANG,862.0,591.0,-1.095,100.375,4.0,1457.0
MOTHERBANK,1063.0,344.0,,,,1407.0
ANTIGUA,686.0,715.0,17.12,-61.85,,1401.0
EL CALLAO,1049.0,340.0,-12.03,-77.16,1.0,1390.0
